
Final Solution Fields: 

         I            y           Velocity   
         2    0.5000000E-03    0.4166674E-02
         3    0.1500000E-02    0.1194447E-01
         4    0.2500000E-02    0.1916670E-01
         5    0.3500000E-02    0.2583339E-01
         6    0.4500000E-02    0.3194451E-01
         7    0.5500000E-02    0.3750008E-01
         8    0.6500001E-02    0.4250009E-01
         9    0.7500001E-02    0.4694454E-01
        10    0.8500000E-02    0.5083344E-01
        11    0.9500001E-02    0.5416678E-01
        12    0.1050000E-01    0.5694456E-01
        13    0.1150000E-01    0.5916679E-01
        14    0.1250000E-01    0.6083347E-01
        15    0.1350000E-01    0.6194458E-01
        16    0.1450000E-01    0.6250014E-01
        17    0.1550000E-01    0.6250014E-01
        18    0.1650000E-01    0.6194458E-01
        19    0.1750000E-01    0.6083347E-01
        20    0.1850000E-01    0.5916679E-01
        21    0.1950000E-01    0.5694456E-01
        22    0.2050000E-01    0.5416678E-01
        23    0.2150000E-01    0.5083344E-01
        24    0.2250000E-01    0.4694454E-01
        25    0.2350000E-01    0.4250009E-01
        26    0.2450000E-01    0.3750008E-01
        27    0.2550000E-01    0.3194451E-01
        28    0.2650000E-01    0.2583339E-01
        29    0.2750000E-01    0.1916670E-01
        30    0.2850000E-01    0.1194447E-01
        31    0.2950000E-01    0.4166674E-02
